Borough,Zipcode,Date Collected,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
Bronx,10460,06/21/2023,2,0.104
Bronx,10461,06/10/2023,8,0.157
Bronx,10461,06/15/2023,12,0.113
Bronx,10462,06/20/2023,0,0.136
Bronx,10462,06/30/2023,1,0.091
Bronx,10463,06/09/2023,2,0.063
Bronx,10463,07/30/2023,0,0.069
Bronx,10463,08/04/2023,10,0.113
Bronx,10463,09/11/2023,1,0.122
Bronx,10465,06/30/2023,3,0.147
Bronx,10470,07/09/2023,1,0.147
Bronx,10471,06/09/2023,1,0.128
Bronx,10471,06/10/2023,1,0.062
Bronx,10471,07/11/2023,8,0.109
Bronx,10471,08/08/2023,0,0.18
Brooklyn,11203,06/12/2023,8,0.099
Brooklyn,11203,06/24/2023,8,0.135
Brooklyn,11204,06/08/2023,7,0.195
Brooklyn,11204,06/13/2023,4,0.115
Brooklyn,11205,07/11/2023,9,0.159
Brooklyn,11206,08/24/2023,10,0.24
Brooklyn,11207,06/10/2023,0,0.047
Brooklyn,11207,06/11/2023,5,0.149
Brooklyn,11209,06/11/2023,0,0.04
Brooklyn,11209,07/15/2023,3,0.039
Brooklyn,11209,09/25/2023,3,0.181
Brooklyn,11211,06/09/2023,2,0.16
Brooklyn,11212,06/08/2023,0,0.119
Brooklyn,11212,06/20/2023,0,0.11
Brooklyn,11212,06/23/2023,0,0.049
Brooklyn,11212,06/29/2023,1,0.151
Brooklyn,11212,08/10/2023,0,0.117
Brooklyn,11213,06/15/2023,2,0.169
Brooklyn,11213,06/20/2023,2,0.053
Brooklyn,11213,06/23/2023,4,0.156
Brooklyn,11214,06/11/2023,3,0.153
Brooklyn,11214,06/20/2023,0,0.141
Brooklyn,11214,07/21/2023,6,0.112
Brooklyn,11214,08/25/2023,0,0.047
Brooklyn,11215,06/08/2023,6,0.109
Brooklyn,11215,06/09/2023,3,0.153
Brooklyn,11215,06/09/2023,4,0.163
Brooklyn,11215,08/10/2023,1,0.106
Brooklyn,11216,06/08/2023,5,0.183
Brooklyn,11217,06/10/2023,5,0.17
Brooklyn,11217,06/23/2023,3,0.213
Brooklyn,11217,06/23/2023,0,0.118
Brooklyn,11217,07/06/2023,9,0.086
Brooklyn,11217,09/22/2023,2,0.095
Brooklyn,11218,06/09/2023,3,0.119
Brooklyn,11218,06/13/2023,6,0.087
Brooklyn,11218,06/20/2023,9,0.22
Brooklyn,11218,06/22/2023,9,0.165
Brooklyn,11218,09/14/2023,3,0.138
Brooklyn,11219,06/30/2023,2,0.081
Brooklyn,11220,06/08/2023,8,0.122
Brooklyn,11220,06/09/2023,4,0.124
Brooklyn,11221,06/26/2023,22,0.144
Brooklyn,11222,07/06/2023,1,0.132
Brooklyn,11223,06/08/2023,5,0.077
Brooklyn,11223,06/20/2023,3,0.112
Brooklyn,11223,09/22/2023,9,0.171
Brooklyn,11224,06/09/2023,0,0.124
Brooklyn,11224,06/12/2023,0,0.016
Brooklyn,11224,06/14/2023,2,0.017
Brooklyn,11224,06/17/2023,0,0.112
Brooklyn,11224,06/20/2023,0,0.079
Brooklyn,11225,06/08/2023,16,0.08
Brooklyn,11225,06/26/2023,5,0.037
Brooklyn,11226,06/11/2023,4,0.374
Brooklyn,11226,06/16/2023,6,0.123
Brooklyn,11228,06/07/2023,4,0.172
Brooklyn,11228,06/15/2023,20,0.132
Brooklyn,11228,06/16/2023,8,0.149
Brooklyn,11228,07/18/2023,76,0.176
Brooklyn,11228,09/13/2023,1,0.177
Brooklyn,11229,06/09/2023,9,0.276
Brooklyn,11229,06/17/2023,8,0.023
Brooklyn,11229,06/17/2023,17,0.095
Brooklyn,11229,08/06/2023,15,0.085
Brooklyn,11230,06/11/2023,2,0.169
Brooklyn,11230,08/30/2023,5,0.081
Brooklyn,11231,06/09/2023,4,0.151
Brooklyn,11231,06/10/2023,0,0.008
Brooklyn,11231,06/24/2023,9,0.167
Brooklyn,11231,09/14/2023,15,0.062
Brooklyn,11233,06/15/2023,2,0.224
Brooklyn,11234,06/08/2023,7,0.149
Brooklyn,11234,06/09/2023,7,0.027
Brooklyn,11234,06/10/2023,10,0.12
Brooklyn,11234,06/10/2023,4,0.079
Brooklyn,11234,06/11/2023,5,0.131
Brooklyn,11234,06/13/2023,8,0.146
Brooklyn,11234,06/16/2023,0,0.158
Brooklyn,11234,06/20/2023,3,0.108
Brooklyn,11234,06/20/2023,0,0.174
Brooklyn,11234,06/27/2023,1,0.146
Brooklyn,11236,09/18/2023,5,0.2
Brooklyn,11238,07/23/2023,2,0.198
Manhattan,10011,09/25/2023,4,0.106
Manhattan,10018,06/15/2023,8,0.138
Manhattan,10128,06/19/2023,9,0.11
Queens,11101,06/11/2023,4,0.197
Queens,11101,06/20/2023,1,0.14
Queens,11102,06/12/2023,5,0.111
Queens,11103,06/18/2023,4,0.076
Queens,11103,06/21/2023,1,0.081
Queens,11104,06/12/2023,9,0.126
Queens,11104,09/09/2023,4,0.148
Queens,11105,06/10/2023,10,0.146
Queens,11105,06/30/2023,6,0.192
Queens,11105,07/23/2023,0,0.073
Queens,11106,07/10/2023,6,0.105
Queens,11354,06/11/2023,11,0.057
Queens,11354,06/14/2023,2,0.044
Queens,11354,06/16/2023,2,0.185
Queens,11354,07/01/2023,4,0.18
Queens,11356,08/02/2023,3,0.107
Queens,11357,06/09/2023,7,0.077
Queens,11357,06/13/2023,11,0.193
Queens,11357,09/05/2023,10,0.166
Queens,11358,06/10/2023,5,0.134
Queens,11358,06/12/2023,12,0.101
Queens,11358,06/15/2023,3,0.108
Queens,11358,06/17/2023,5,0.122
Queens,11358,06/19/2023,0,0.068
Queens,11358,06/23/2023,13,0.128
Queens,11358,06/24/2023,2,0.09
Queens,11358,06/28/2023,3,0.122
Queens,11358,08/09/2023,21,0.331
Queens,11358,09/16/2023,177,0.068
Queens,11358,09/18/2023,2,0.16
Queens,11361,06/08/2023,0,0.158
Queens,11361,06/09/2023,2,0.022
Queens,11361,07/11/2023,11,0.08
Queens,11361,07/16/2023,5,0.121
Queens,11361,08/08/2023,2,0.195
Queens,11362,09/16/2023,15,0.144
Queens,11363,06/10/2023,12,0.079
Queens,11363,06/12/2023,2,0.14
Queens,11363,06/19/2023,0,0.15
Queens,11364,06/17/2023,3,0.099
Queens,11368,06/14/2023,3,0.034
Queens,11372,06/19/2023,17,0.09
Queens,11372,07/04/2023,6,0.124
Queens,11373,06/11/2023,11,0.306
Queens,11374,06/19/2023,4,0.102
Queens,11374,06/27/2023,6,0.053
Queens,11375,06/08/2023,1,0.058
Queens,11375,06/10/2023,1,0.138
Queens,11375,06/13/2023,9,0.162
Queens,11375,06/18/2023,11,0.154
Queens,11375,06/19/2023,1,0.067
